time,Thv,sigma,run,H,V
1890.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1920.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1950.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
1980.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2010.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2040.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2070.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2100.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2130.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2160.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2190.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2220.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2250.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2280.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2310.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2340.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2370.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2400.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2430.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2460.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2490.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2520.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2550.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2580.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2610.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2640.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2670.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2700.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2730.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2760.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2790.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2820.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2850.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2880.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2910.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2940.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
2970.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3000.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3030.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3060.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3090.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3120.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3150.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3180.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3210.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3240.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3270.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3300.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3330.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3360.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3390.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3420.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3450.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3480.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3510.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3540.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3570.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3600.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3630.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
3650.0,0.47534722089767456,0.0,1,8907.779296875,57194.0078125
0.0,0.5013889074325562,0.0,1,0.0,10.0
30.0,0.5013889074325562,0.0,1,8500.646484375,44575.92578125
60.0,0.5013889074325562,0.0,1,8960.634765625,57322.921875
90.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
120.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
150.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
180.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
210.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
240.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
270.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
300.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
330.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
360.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
390.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
420.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
450.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
480.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
510.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
540.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
570.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
600.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
630.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
660.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
690.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
720.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
750.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
780.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
810.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
840.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
870.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
900.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
930.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
960.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
990.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1020.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1050.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1080.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1110.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1140.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1170.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1200.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1230.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1260.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1290.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1320.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1350.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1380.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1410.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1440.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1470.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1500.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1530.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1560.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1590.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
1620.0,0.5013889074325562,0.0,1,8960.97265625,57339.7109375
